Cites,Authors,Title,Year,Source,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount
46,"UM Jogiat, ELR Bédard, H Sasewich…",Sarcopenia reduces overall survival in unresectable oesophageal cancer: a systematic review and meta‐analysis,2022,"Journal of Cachexia, Sarcopenia and Muscle",281,46,15.33,12,4
46,"TY Lin, MY Wu, HS Chen, SC Hung, PS Lim",Development and validation of a multifrequency bioimpedance spectroscopy equation to predict appendicular skeletal muscle mass in hemodialysis patients,2021,Clinical Nutrition,596,46,11.5,9,5
46,"NG Ünal, N Oruç, O Tomey…",Malnutrition and sarcopenia are prevalent among inflammatory bowel disease patients with clinical remission,2021,European journal of …aaaa,564,46,11.5,12,4
46,"J Lee, SH Liu, KY Dai, YM Huang, CJ Li…",Sarcopenia and systemic inflammation synergistically impact survival in oral cavity cancer,2021,The …,784,46,11.5,8,6
46,"M Findlay, C Brown…","Sarcopenia and myosteatosis in patients undergoing curative radiotherapy for head and neck cancer: Impact on survival, treatment completion, hospital admission …",2020,Journal of Human …,956,46,9.2,15,3
46,"J Zanker, S Patel, T Blackwell, K Duchowny…",Walking speed and muscle mass estimated by the D3-creatine dilution method are important components of sarcopenia associated with incident mobility disability in …,2020,Journal of the American Medical Directors Association,664,46,9.2,9,5
46,"SE Byun, S Kim, KH Kim, YC Ha",Psoas cross-sectional area as a predictor of mortality and a diagnostic tool for sarcopenia in hip fracture patients,2019,Journal of bone and mineral metabolism,283,46,7.67,12,4
45,"SK Lim, S Kong","Prevalence, physical characteristics, and fall risk in older adults with and without possible sarcopenia",2022,Aging clinical and experimental research,353,45,15,23,2
45,"S Ozkok, CO Aydin, DE Sacar, NM Catikkas, T Erdogan…",Sarcopenic obesity versus sarcopenia alone with the use of probable sarcopenia definition for sarcopenia: Associations with frailty and physical performance,2022,Clinical Nutrition,232,45,15,8,6
45,"LM Pechmann, TH Jonasson…",Sarcopenia in type 2 diabetes mellitus: a cross‐sectional observational study,2020,International journal …,787,45,9,15,3
45,"K Godziuk, CM Prado, LJ Woodhouse…",Prevalence of sarcopenic obesity in adults with end-stage knee osteoarthritis,2019,Osteoarthritis and …,170,45,7.5,11,4
45,"WMWH Sipers, W de Blois, JMGA Schols…",Sarcopenia is related to mortality in the acutely hospitalized geriatric patient,2019,"The Journal of Nutrition, Health and Aging",702,45,7.5,11,4
45,"JJ Hopkins, D Skubleny, DL Bigam, VE Baracos…",Barriers to the interpretation of body composition in colorectal cancer: a review of the methodological inconsistency and complexity of the CT-defined body habitus,2018,Annals of surgical …,742,45,6.43,9,5
45,"EH van Roekel, MJL Bours, MEM Te Molder…",Associations of adipose and muscle tissue parameters at colorectal cancer diagnosis with long-term health-related quality of life,2017,Quality of Life …,332,45,5.63,11,4
45,"F Cuesta, F Formiga, A López-Soto, F Masanes…",Prevalence of sarcopenia in patients attending outpatient geriatric clinics: the ELLI study,2015,Age and …,609,45,4.5,9,5
44,"LA da Costa Teixeira, NCP Avelar, MFD Peixoto…",Inflammatory biomarkers at different stages of Sarcopenia in older women,2023,Scientific reports,206,44,22,11,4
44,"D Vogele, S Otto, N Sollmann…","Sarcopenia–definition, radiological diagnosis, clinical significance",2023,RöFo-Fortschritte auf …,40,44,22,11,4
44,"LJ Halliday, PR Boshier, E Doganay…",The effects of prehabilitation on body composition in patients undergoing multimodal therapy for esophageal cancer,2023,Diseases of the …,594,44,22,11,4
44,"C Capitao, D Coutinho, PM Neves, ML Capelas…",Protein intake and muscle mass maintenance in patients with cancer types with high prevalence of sarcopenia: a systematic review,2022,Supportive Care in …,443,44,14.67,9,5
44,"J Han, L Harrison, L Patzelt, M Wu, D Junker, S Herzig…",Imaging modalities for diagnosis and monitoring of cancer cachexia,2021,EJNMMI research,820,44,11,6,7
44,"ML Brance, S Di Gregorio, BA Pons-Estel…",Prevalence of sarcopenia and whole-body composition in rheumatoid arthritis,2021,JCR: Journal of …,312,44,11,11,4
44,"K Piotrowicz, A Głuszewska, J Czesak…",SARC-F as a case-finding tool for sarcopenia according to the EWGSOP2. National validation and comparison with other diagnostic standards,2021,Aging clinical and …,519,44,11,11,4
44,"J Stangl-Kremser, R Suarez‐Ibarrola…",Assessment of body composition in the advanced stage of castration-resistant prostate cancer: special focus on sarcopenia,2020,Prostate Cancer and …,286,44,8.8,15,3
44,"T Kera, H Kawai, H Hirano, M Kojima…",Limitations of SARC-F in the diagnosis of sarcopenia in community-dwelling older adults,2020,Archives of gerontology …,313,44,8.8,9,5
44,"SA Purcell, M MacKenzie, TG Barbosa-Silva…",Sarcopenia prevalence using different definitions in older community-dwelling Canadians,2020,"The Journal of Nutrition, Health and Aging",456,44,8.8,11,4
44,"M Di Monaco, C Castiglioni, F Bardesono…","Sarcopenia, osteoporosis and the burden of prevalent vertebral fractures: a cross-sectional study of 350 women with hip fracture",2020,European journal of …bbbb,921,44,8.8,11,4
44,"M Locquet, C Beaudart, M Hajaoui, J Petermans…",Three-year adverse health consequences of sarcopenia in community-dwelling older adults according to 5 diagnosis definitions,2019,Journal of the American Medical Directors Association,622,44,7.33,9,5
44,S Morishita,Prevalence of sarcopenia in cancer patients: review and future directions,2016,Int J Phys Med Rehabil,852,44,4.89,44,1
44,"PT Tasar, S Sahin, E Karaman, MG Ulusoy…",Prevalence and risk factors of sarcopenia in elderly nursing home residents,2015,European Geriatric …,912,44,4.4,9,5
43,"S Dai, D Shu, F Meng, Y Chen, J Wang, X Liu, X Xiao…",Higher risk of sarcopenia in older adults with type 2 diabetes: NHANES 1999–2018,2023,Obesity facts,957,43,21.5,5,8
43,"B Xu, Z Guo, B Jiang, K Zhang, W Zhu…",Factors affecting sarcopenia in older patients with chronic diseases,2022,Annals of palliative …,849,43,14.33,7,6
43,"A Pár, JP Hegyi, S Váncsa, G Pár",Sarcopenia–2021,2021,Orvosi hetilap,997,43,10.75,11,4
43,"M Yakabe, T Hosoi, M Akishita, S Ogawa",Updated concept of sarcopenia based on muscle–bone relationship,2020,Journal of bone and mineral …,790,43,8.6,11,4
43,"M Lombardo, A Boaria, G Aulisa…",Sarcopenic obesity: etiology and lifestyle therapy.,2019,European Review for …,657,43,7.17,11,4
43,"VR Santos, IC Gomes, DR Bueno…","Obesity, sarcopenia, sarcopenic obesity and reduced mobility in Brazilian older people aged 80 years and over",2017,Einstein (São …,698,43,5.38,11,4
43,"WS Jin, EJ Choi, SY Lee, EJ Bae…","Relationships among obesity, sarcopenia, and osteoarthritis in the elderly",2017,Journal of obesity & …,151,43,5.38,9,5
43,"Z Ezzat-Zadeh, JS Kim, PB Chase…","The cooccurrence of obesity, osteoporosis, and sarcopenia in the ovariectomized rat: a study for modeling osteosarcopenic obesity in rodents",2017,Journal of aging …,620,43,5.38,11,4
42,"M Jiang, X Ren, L Han, X Zheng",Associations between sarcopenic obesity and risk of cardiovascular disease: a population-based cohort study among middle-aged and older adults using the …,2024,Clinical Nutrition,758,42,42,11,4
42,"DVC Mai, I Drami, ET Pring, LE Gould…",A systematic review of automated segmentation of 3D computed‐tomography scans for volumetric body composition analysis,2023,"Journal of Cachexia, Sarcopenia and Muscle",105,42,21,8,5
42,"JM Guralnik, PM Cawthon, S Bhasin…",Limited physician knowledge of sarcopenia: a survey,2023,Journal of the …,155,42,21,11,4
42,"R Krzymińska-Siemaszko, S Tobis, M Lewandowicz…",… of four sarcopenia screening questionnaires in community-dwelling older adults from Poland using six sets of international diagnostic criteria of sarcopenia,2020,PLoS …,336,42,8.4,11,4
42,"W Kemmler, M Weineck, M Kohl…",… to improve body composition and strength in older men with osteosarcopenia. Results of the randomized controlled franconian osteopenia and sarcopenia …,2020,Frontiers in sports and …,706,42,8.4,11,4
42,"J Stangl-Kremser, D D'Andrea, M Vartolomei…",Prognostic value of nutritional indices and body composition parameters including sarcopenia in patients treated with radiotherapy for urothelial carcinoma of the …,2019,… Oncology: Seminars and …,710,42,7,11,4
42,"L Benavides-Rodríguez, A García-Hermoso…",Relationship between handgrip strength and muscle mass in female survivors of breast cancer: a mediation analysis,2017,Nutrients,715,42,5.25,14,3
42,"JA Paula, EL Wamser, ARS Gomes…",Análise de métodos para detectar sarcopenia em idosas independentes da comunidade,2016,Revista Brasileira de …,918,42,4.67,11,4
41,"LF Ferreira, EL Scariot, LHT da Rosa",The effect of different exercise programs on sarcopenia criteria in older people: A systematic review of systematic reviews with meta-analysis,2023,Archives of Gerontology and …,561,41,20.5,14,3
41,"Q Gao, K Hu, J Gao, Y Shang, F Mei, L Zhao, F Chen…",Prevalence and prognostic value of sarcopenic obesity in patients with cancer: a systematic review and meta-analysis,2022,Nutrition,800,41,13.67,5,8
41,"C Macedo, TF Amaral, J Rodrigues, F Santin…",Malnutrition and sarcopenia combined increases the risk for mortality in older adults on hemodialysis,2021,Frontiers in Nutrition,924,41,10.25,8,5
41,"JC Brown, BJ Caan, EMC Feliciano, J Xiao…",Weight stability masks changes in body composition in colorectal cancer: a retrospective cohort study,2021,The American Journal of …,436,41,10.25,8,5
41,"L Joffe, KL Schadler, W Shen, EJ Ladas",Body composition in pediatric solid tumors: state of the science and future directions,2019,JNCI Monographs,859,41,6.83,10,4
41,"APMM Barreto, MIB Silva, KS da Silva Pontes…",Sarcopenia and its components in adult renal transplant recipients: prevalence and association with body adiposity,2019,British Journal of …,765,41,6.83,10,4
41,"YJ Kang, JI Yoo, Y Ha",Sarcopenia feature selection and risk prediction using machine learning: A cross-sectional study,2019,Medicine,254,41,6.83,14,3
41,"JJ Moon, SG Park, SM Ryu…",New skeletal muscle mass index in diagnosis of sarcopenia,2018,Journal of bone …,130,41,5.86,10,4
41,"MHL Gusmão-Sena, K Curvello-Silva…",Association between sarcopenic obesity and cardiovascular risk: where are we?,2016,Nutricion …,853,41,4.56,14,3
40,"G Voulgaridou, S Tyrovolas, P Detopoulou…",Diagnostic criteria and measurement techniques of sarcopenia: a critical evaluation of the up-to-date evidence,2024,Nutrients,148,40,40,10,4
40,"Y Ding, L Chang, H Zhang, S Wang",Predictive value of phase angle in sarcopenia in patients on maintenance hemodialysis,2022,Nutrition,386,40,13.33,10,4
40,"I Drami, ET Pring, L Gould, G Malietzis, M Naghibi…",Body composition and dose-limiting toxicity in colorectal cancer chemotherapy treatment; a systematic review of the literature. Could muscle mass be the new body …,2021,Clinical Oncology,801,40,10,7,6
40,"J Pratt, G De Vito, M Narici, R Segurado…",Plasma C-terminal agrin fragment as an early biomarker for sarcopenia: results from the GenoFit study,2021,The Journals of …,431,40,10,8,5
40,"TJ Wilkinson, EF Gore, N Vadaszy…",Utility of ultrasound as a valid and accurate diagnostic tool for sarcopenia: sex‐specific cutoff values in chronic kidney disease,2021,… of Ultrasound in …,167,40,10,10,4
40,"AR Sousa-Santos, D Barros, TL Montanha…",Which is the best alternative to estimate muscle mass for sarcopenia diagnosis when DXA is unavailable?,2021,Archives of Gerontology …,272,40,10,10,4
40,"T Nishigori, K Obama, Y Sakai",Assessment of body composition and impact of sarcopenia and sarcopenic obesity in patients with gastric cancer,2020,Translational …,87,40,8,13,3
40,"HH Kong, CW Won, W Kim",Effect of sarcopenic obesity on deterioration of physical function in the elderly,2020,Archives of gerontology and geriatrics,381,40,8,13,3
40,"SI Kim, TM Kim, M Lee, HS Kim, HH Chung, JY Cho…",Impact of CT-determined sarcopenia and body composition on survival outcome in patients with advanced-stage high-grade serous ovarian carcinoma,2020,Cancers,134,40,8,6,7
40,"Q He, X Wang, C Yang, X Zhuang…",Metabolic and nutritional characteristics in middle‐aged and elderly sarcopenia patients with type 2 diabetes,2020,Journal of Diabetes …,814,40,8,8,5
40,"EM Reijnierse, A Buljan, CSL Tuttle…",Prevalence of sarcopenia in inpatients 70 years and older using different diagnostic criteria,2019,Nursing …,204,40,6.67,10,4
40,"W Kemmler, C Sieber, E Freiberger, S von Stengel",The SARC-F questionnaire: diagnostic overlap with established sarcopenia definitions in older German men with sarcopenia,2017,Gerontology,143,40,5,10,4
40,"LI Filippin, F Miraglia, VNO Teixeira…",Timed Up and Go test as a sarcopenia screening tool in home-dwelling elderly persons,2017,Revista Brasileira de …,604,40,5,10,4
40,"HM Ji, J Han, D San Jin, H Suh…",Sarcopenia and sarcopenic obesity in patients undergoing orthopedic surgery,2016,Clinics in orthopedic …,705,40,4.44,8,5
39,"JZ Zhang, W Shi, M Zou, QS Zeng…","Diagnosis, prevalence, and outcomes of sarcopenia in kidney transplantation recipients: a systematic review and meta‐analysis",2023,"Journal of Cachexia, Sarcopenia and Muscle",267,39,19.5,8,5
39,"BYH Wang, AWT Hsiao, N Wong, YF Chen…",Is dexamethasone-induced muscle atrophy an alternative model for naturally aged sarcopenia model?,2023,Journal of Orthopaedic …,605,39,19.5,8,5
39,"D Scott, F Blyth, V Naganathan, DG Le Couteur…",Sarcopenia prevalence and functional outcomes in older men with obesity: comparing the use of the EWGSOP2 sarcopenia versus ESPEN-EASO sarcopenic …,2023,Clinical Nutrition,602,39,19.5,8,5
39,"S Mirzai, BL Eck, PH Chen, JD Estep…",Current approach to the diagnosis of sarcopenia in heart failure: a narrative review on the role of clinical and imaging assessments,2022,Circulation: Heart …,257,39,13,8,5
39,"BR Kim, TK Yoo, HK Kim, IH Ryu, JK Kim, IS Lee…","Oculomics for sarcopenia prediction: a machine learning approach toward predictive, preventive, and personalized medicine",2022,EPMA Journal,15,39,13,6,7
39,"I Molwitz, AK Ozga, L Gerdes, A Ungerer, D Köhler…",Prediction of abdominal CT body composition parameters by thoracic measurements as a new approach to detect sarcopenia in a COVID-19 cohort,2022,Scientific reports,74,39,13,7,6
39,"M Runkel, TD Diallo, SA Lang, F Bamberg…","The role of visceral obesity, sarcopenia and sarcopenic obesity on surgical outcomes after liver resections for colorectal metastases",2021,World journal of …,465,39,9.75,8,5
39,"SA Staley, K Tucker, M Newton, M Ertel, J Oldan…",Sarcopenia as a predictor of survival and chemotoxicity in patients with epithelial ovarian cancer receiving platinum and taxane-based chemotherapy,2020,Gynecologic …,413,39,7.8,7,6
39,"DP Dos Santos, R Kloeckner, S Koch…",Sarcopenia as prognostic factor for survival after orthotopic liver transplantation,2020,European Journal of …cccc,696,39,7.8,10,4
39,"N Lassau, I Bousaid, E Chouzenoux…",Three artificial intelligence data challenges based on CT and MRI,2020,Diagnostic and …,324,39,7.8,10,4
39,"JJ Hopkins, R Reif, D Bigam, VE Baracos…",Change in skeletal muscle following resection of stage I–III colorectal cancer is predictive of poor survival: a cohort study,2019,World Journal of …,668,39,6.5,8,5
39,"CH Wu, MC Chang, VK Lyadov, PC Liang, CM Chen…",Comparing Western and Eastern criteria for sarcopenia and their association with survival in patients with pancreatic cancer,2019,Clinical Nutrition,145,39,6.5,7,6
39,M Sinclair,Controversies in diagnosing sarcopenia in cirrhosis—moving from research to clinical practice,2019,Nutrients,540,39,6.5,39,1
39,"C Messina, CG Monaco, FM Ulivieri…",Dual-energy X-ray absorptiometry body composition in patients with secondary osteoporosis,2016,European journal of …dddd,734,39,4.33,10,4
38,"Y Nie, Z Yan, H Yin, L Shan, J Wang, Q Wu","Osteosarcopenic obesity and its components—osteoporosis, sarcopenia, and obesity—are associated with blood cell count-derived inflammation indices in …",2022,BMC Geriatrics,43,38,12.67,6,6
38,"T Inoue, J Ueshima, F Kawase, H Kobayashi…",Trajectories of the prevalence of sarcopenia in the pre-and post-stroke periods: a systematic review,2022,Nutrients,633,38,12.67,8,5
38,"SW Son, DS Song, UI Chang, JM Yang",Definition of sarcopenia in chronic liver disease,2021,Life,352,38,9.5,10,4
38,"Y Saiman, M Serper",Frailty and sarcopenia in patients pre–and post–liver transplant,2021,Clinics in Liver Disease,491,38,9.5,19,2
38,"V Dávalos-Yerovi, E Marco…",Sarcopenia according to the revised European consensus on definition and diagnosis (EWGSOP2) criteria predicts hospitalizations and long-term mortality in …,2019,Journal of the American Medical Directors Association,469,38,6.33,13,3
38,"D Basile, C Corvaja, R Caccialanza…",Sarcopenia: looking to muscle mass to better manage pancreatic cancer patients,2019,Current Opinion in …,473,38,6.33,10,4
37,"M Cao, J Lian, X Lin, J Liu, C Chen, S Xu, S Ma…","Prevalence of sarcopenia under different diagnostic criteria and the changes in muscle mass, muscle strength, and physical function with age in Chinese old …",2022,BMC Geriatrics,489,37,12.33,5,8
37,"A Yoshiko, M Ogawa, K Shimizu, R Radaelli…",Chair sit-to-stand performance is associated with diagnostic features of sarcopenia in older men and women,2021,Archives of gerontology …,775,37,9.25,7,5
37,"YJ Kang, JI Yoo, KW Baek",Differential gene expression profile by RNA sequencing study of elderly osteoporotic hip fracture patients with sarcopenia,2021,Journal of Orthopaedic Translation,769,37,9.25,12,3
37,"V Hax, RC do Espirito Santo, LP Dos Santos…",Practical screening tools for sarcopenia in patients with systemic sclerosis,2021,PLoS …,627,37,9.25,9,4
37,"B Moreno-Franco, RF Pérez-Tasigchana…",Socioeconomic determinants of sarcopenic obesity and frail obesity in community-dwelling older adults: The Seniors-ENRICA Study,2018,Scientific reports,870,37,5.29,12,3
37,"DC Nascimento, SC Oliveira, DCL Vieira…","The impact of sarcopenic obesity on inflammation, lean body mass, and muscle strength in elderly women",2018,… journal of general …,773,37,5.29,9,4
37,"X Wen, P An, WC Chen, Y Lv, Q Fu",Comparisons of sarcopenia prevalence based on different diagnostic criteria in Chinese older adults,2015,"The journal of nutrition, health & …",223,37,3.7,7,5
36,"YE Kwon, JS Lee, J Kim, SI Baeg…",Impact of sarcopenia and phase angle on mortality of the very elderly,2023,"Journal of Cachexia, Sarcopenia and Muscle",393,36,18,7,5
36,"M Kara, Ö Kara, Y Ceran, B Kaymak…",SARcopenia assessment in hypertension: the SARAH study,2023,American Journal of …,694,36,18,7,5
36,"O Shafaat, Y Liu, KR Jackson, JD Motter, BJ Boyarsky…",Association between abdominal CT measurements of body composition before deceased donor liver transplant with posttransplant outcomes,2022,Radiology,833,36,12,6,6
36,"MRB Piodena-Aportadera, S Lau…","Calf circumference measurement protocols for sarcopenia screening: differences in agreement, convergent validity and diagnostic performance",2022,Annals of geriatric …,754,36,12,12,3
36,"C Sun, M Anraku, T Kawahara, T Karasaki…",Respiratory strength and pectoralis muscle mass as measures of sarcopenia: Relation to outcomes in resected non–small cell lung cancer,2022,The journal of thoracic …,983,36,12,7,5
36,"W Ji, XL Liu, KW Zheng, HM Yang, JW Cui, W Li",Correlation of phase angle with sarcopenia and its diagnostic value in elderly men with cancer,2021,Nutrition,225,36,9,6,6
36,"M Leigheb, A de Sire, M Colangelo, D Zagaria…",Sarcopenia diagnosis: reliability of the ultrasound assessment of the tibialis anterior muscle as an alternative evaluation tool,2021,Diagnostics,396,36,9,7,5
36,"T Erdogan, S Eris, S Avci, MM Oren…","Sarcopenia quality-of-life questionnaire (SarQoL)®: translation, cross-cultural adaptation and validation in Turkish",2021,Aging Clinical and …,785,36,9,7,5
36,"G Chassagnon, A Dohan",Artificial intelligence: from challenges to clinical implementation,2020,Diagnostic and Interventional Imaging,907,36,7.2,18,2
36,"PJ Hegyi, A Soós, P Hegyi, Z Szakács, L Hanák…",Pre-transplant sarcopenic obesity worsens the survival after liver transplantation: a meta-analysis and a systematic review,2020,Frontiers in Medicine,346,36,7.2,6,6
36,"SS Habib, S Alkahtani, M Alhussain…",Sarcopenia coexisting with high adiposity exacerbates insulin resistance and dyslipidemia in Saudi adult men,2020,… Syndrome and Obesity,867,36,7.2,9,4
36,"SS Baxi, E Schwitzer, LW Jones",A review of weight loss and sarcopenia in patients with head and neck cancer treated with chemoradiation,2016,Cancers of the Head &Neck,425,36,4,12,3
35,"MA Hernandez-Lepe, MI Miranda-Gil…",Exercise programs combined with diet supplementation improve body composition and physical function in older adults with sarcopenia: a systematic review,2023,Nutrients,370,35,17.5,12,3
35,"MEH Şahin, F Akbaş, AH Yardimci, E Şahin",The effect of sarcopenia and sarcopenic obesity on survival in gastric cancer,2023,BMC cancer,581,35,17.5,9,4
35,"A Romano, S Triarico, E Rinninella, L Natale, MG Brizi…",Clinical impact of nutritional status and sarcopenia in pediatric patients with bone and soft tissue sarcomas: a pilot retrospective study (SarcoPed),2022,Nutrients,392,35,11.67,6,6
35,"HI Kim, SH Ahn, Y Kim, JE Lee, E Choi, SK Seo",Effects of sarcopenia and sarcopenic obesity on joint pain and degenerative osteoarthritis in postmenopausal women,2022,Scientific reports,515,35,11.67,6,6
35,"C Neuzillet, A Anota, AM Foucaut…","Nutrition and physical activity: French intergroup clinical practice guidelines for diagnosis, treatment and follow-up (SNFGE, FFCD, GERCOR, UNICANCER, SFCD …",2021,BMJ Supportive & …,893,35,8.75,9,4
35,"E Poggiogalle, E Parrinello, R Barazzoni…",Therapeutic strategies for sarcopenic obesity: a systematic review,2021,Current Opinion in …,454,35,8.75,9,4
35,"ER Allanson, Y Peng, A Choi, S Hayes, M Janda…",A systematic review and meta-analysis of sarcopenia as a prognostic factor in gynecological malignancy,2020,International Journal of …,735,35,7,6,6
35,"NT Bellafronte, GR Sizoto, L Vega-Piris, PG Chiarello…","Bed-side measures for diagnosis of low muscle mass, sarcopenia, obesity, and sarcopenic obesity in patients with chronic kidney disease under non-dialysis …",2020,PLoS …,54,35,7,7,5
35,"S Onishi, M Tajika, T Tanaka, K Yamada, T Abe…",Prognostic impact of sarcopenic obesity after neoadjuvant chemotherapy followed by surgery in elderly patients with esophageal squamous cell carcinoma,2020,Journal of Clinical …,857,35,7,6,6
35,"CS Lee, DD Won, SN Oh, YS Lee, IK Lee…",Prognostic role of pre-sarcopenia and body composition with long-term outcomes in obstructive colorectal cancer: a retrospective cohort study,2020,World Journal of …,819,35,7,6,6
35,"E Bieliuniene, J Brøndum Frøkjær, A Pockevicius…",CT-and MRI-based assessment of body composition and pancreatic fibrosis reveals high incidence of clinically significant metabolic changes that affect the …,2019,Medicina,850,35,5.83,9,4
34,"M Murawiak, R Krzymińska-Siemaszko…","Sarcopenia, obesity, sarcopenic obesity and risk of poor nutritional status in Polish community-dwelling older people aged 60 years and over",2022,Nutrients,264,34,11.33,11,3
34,"F Brzeszczynski, J Brzeszczynska…",The effect of sarcopenia on outcomes following orthopaedic surgery: a systematic review,2022,The bone &joint …,566,34,11.33,11,3
34,"RK Oh, HM Ko, JE Lee, KH Lee…",Clinical impact of sarcopenia in patients with colon cancer undergoing laparoscopic surgery,2020,Annals of Surgical …,774,34,6.8,7,5
34,"T Okubo, M Atsukawa, A Tsubota…",Relationship between serum vitamin D level and sarcopenia in chronic liver disease,2020,Hepatology …,976,34,6.8,9,4
34,T Sasaki,"Sarcopenia, frailty circle and treatment with sodium–glucose cotransporter 2 inhibitors",2018,Journal of diabetes investigation,472,34,4.86,34,1
34,"LP Lustosa, PP Batista, DS Pereira…",Comparison between parameters of muscle performance and inflammatory biomarkers of non-sarcopenic and sarcopenic elderly women,2017,… Interventions in Aging,948,34,4.25,9,4
34,"S Kusaka, T Takahashi, Y Hiyama…",Large calf circumference indicates non-sarcopenia despite body mass,2017,Journal of physical …,792,34,4.25,9,4
33,"A Ponsoni, AV Sardeli, FP Costa, LF Mourão",Prevalence of sarcopenia in Parkinson's disease: a systematic review and meta-analysis,2023,Geriatric Nursing,732,33,16.5,8,4
33,"S Islam, F Kanavati, Z Arain, OF Da Costa, W Crum…",Fully automated deep-learning section-based muscle segmentation from CT images for sarcopenia assessment,2022,Clinical Radiology,81,33,11,6,6
33,"D Morlino, M Marra, I Cioffi, L Santarpia, P De Placido…",Prevalence of sarcopenia in women with breast cancer,2022,Nutrients,384,33,11,6,6
33,"U Oflazoglu, A Alacacioglu, U Varol…",Prevalence and related factors of sarcopenia in newly diagnosed cancer patients,2020,Supportive Care in …,317,33,6.6,8,4
33,"VZC Borba, TL Costa, CA Moreira…",MECHANISMS OF ENDOCRINE DISEASE: Sarcopenia in endocrine and non-endocrine disorders,2019,European journal of …eeee,470,33,5.5,8,4
33,"Ö Yasemin, A Seydahmet, K Özcan",Relationship between diabetic neuropathy and sarcopenia,2019,Primary Care Diabetes,461,33,5.5,11,3
33,T Yasuda,"… , body composition, and somatotype characteristics of Japanese young women: Implications for normal-weight obesity syndrome and sarcopenia diagnosis …",2019,Interventional Medicine and Applied Science,73,33,5.5,33,1
33,"LM Francomacaro, C Walker, K Jaap, J Dove…",Sarcopenia predicts poor outcomes in urgent exploratory laparotomy,2018,The American Journal of …,430,33,4.71,7,5
33,"J Xiao, A Cain, SA Purcell, MJ Ormsbee…",Sarcopenic obesity and health outcomes in patients seeking weight loss treatment,2018,Clinical nutrition …,861,33,4.71,7,5
32,"TA Alsaawi, D Aldisi, MMA Abulmeaty, MNK Khattak…","Screening for sarcopenia among elderly arab females: influence of body composition, lifestyle, irisin, and vitamin D",2022,Nutrients,499,32,10.67,6,5
32,"MC Xu, HL Huelster, JB Hatcher, S Avulova…",Obesity is associated with longer survival independent of sarcopenia and myosteatosis in metastatic and/or castrate-resistant prostate cancer,2021,The Journal of …,501,32,8,6,5
32,"SH Armenian, A Iukuridze, JB Teh…",Abnormal body composition is a predictor of adverse outcomes after autologous haematopoietic cell transplantation,2020,"Journal of Cachexia, Sarcopenia and Muscle",509,32,6.4,8,4
32,CW Won,Diagnosis of sarcopenia in primary health care,2020,Journal of the Korean Medical Association,417,32,6.4,32,1
32,"A Villani, R McClure, M Barrett, D Scott",Diagnostic differences and agreement between the original and revised European Working Group (EWGSOP) consensus definition for sarcopenia in community …,2020,Archives of gerontology and …,194,32,6.4,8,4
32,"AJ Kuchnia, Y Yamada, L Teigen, D Krueger…",Combination of DXA and BIS body composition measurements is highly correlated with physical function—an approach to improve muscle mass assessment,2018,Archives of …,628,32,4.57,6,5
31,"B Bi, X Dong, M Yan, Z Zhao, R Liu, S Li, H Wu",Dyslipidemia is associated with sarcopenia of the elderly: a meta-analysis,2024,BMC Geriatrics,725,31,31,4,7
31,"D González-Islas, C Sánchez-Moreno…",Body composition and risk factors associated with sarcopenia in post-COVID patients after moderate or severe COVID-19 infections,2022,BMC pulmonary …,342,31,10.33,10,3
31,"SW Moon, SH Lee, A Woo, AY Leem…",Reference values of skeletal muscle area for diagnosis of sarcopenia using chest computed tomography in Asian general population,2022,"Journal of Cachexia, Sarcopenia and Muscle",372,31,10.33,6,5
31,"E Yasar, NA Tek, MY Tekbudak, G Yurtdaş…","The relationship between myostatin, inflammatory markers, and sarcopenia in patients with chronic kidney disease",2022,Journal of Renal …,951,31,10.33,6,5
31,"B Guida, M Di Maro, M Di Lauro, T Di Lauro, R Trio…","Identification of sarcopenia and dynapenia in CKD predialysis patients with EGWSOP2 criteria: An observational, cross-sectional study",2020,Nutrition,411,31,6.2,5,6
31,"E Poggiogalle, KE Cherry, LJ Su, S Kim, L Myers…","Body composition, IGF1 status, and physical functionality in nonagenarians: implications for osteosarcopenia",2019,Journal of the American Medical Directors Association,806,31,5.17,5,6
30,"L Sun, J Fu, Z Mu, X Duan, P Chan, S Xiu",Association between body fat and sarcopenia in older adults with type 2 diabetes mellitus: A cross-sectional study,2023,Frontiers in Endocrinology,420,30,15,5,6
30,"P Darroch, WJ O'Brien, H Mazahery, C Wham",Sarcopenia prevalence and risk factors among residents in aged care,2022,Nutrients,824,30,10,8,4
30,"I Nies, L Ackermans, M Poeze, TJ Blokhuis…",The diagnostic value of ultrasound of the rectus femoris for the diagnosis of sarcopenia in adults: a systematic review,2022,Injury,211,30,10,6,5
30,"CH González-Correa, MC Pineda-Zuluaga…",Skeletal muscle mass by bioelectrical impedance analysis and calf circumference for sarcopenia diagnosis,2020,Journal of Electrical …,623,30,6,10,3
30,"MC Espinel‐Bermúdez, E Ramírez‐García…",… of sarcopenia in community‐dwelling older people of Mexico City using the EGWSOP (European Working Group on Sarcopenia in Older People) diagnostic criteria,2017,JCSM Clinical …,294,30,3.75,10,3
29,PT Bradshaw,Body composition and cancer survival: a narrative review,2024,British Journal of Cancer,810,29,29,29,1
